plantID,DON_ID,DON_area,forecast,x5,weight_g,ugDON_per_g
N01-Y108-F+ 1,N1,338544,15.9868698,79.93434899,0.53,150.8195264
N01-Y108-F+ 2,N2,312983,14.86912305,74.34561527,0.5,148.6912305
N01-Y108-F+ 3,N3,48623,3.309030359,16.54515179,0.49,33.7656159
N01-Y108-F+ 4,N4,67423,5.06354723,25.31773615,0.49,51.66884928
N02-Q22-F+ 1,N5,130791,6.902121963,34.51060981,0.5,69.02121963
N02-Q22-F+ 2,N6,143885,7.474704251,37.37352126,0.5,74.74704251
N02-Q22-F+ 3,N7,177021,10.64867096,53.2433548,0.52,102.3910669
N02-Q22-F+ 4,N8,59246,4.64684659,23.23423295,0.49,47.41680194
N03-Y11-F+ 1,N9,74190,5.408394146,27.04197073,0.52,52.00378986
N03-Y11-F+ 2,N10,356409,16.76808124,83.84040618,0.51,164.3929533
N03-Y11-F+ 3,N11,470563,21.75987584,108.7993792,0.49,222.0395494
N03-Y11-F+ 4,N12,288145,13.78299209,68.91496043,0.51,135.1273734
N09-W14-F+ 1,N13,97091,5.428468143,27.14234072,0.5,54.28468143
N09-W14-F+ 2,N14,352429,16.59404141,82.97020704,0.5,165.9404141
N09-W14-F+ 3,N15,619192,28.25921393,141.2960696,0.5,282.5921393
N09-W14-F+ 4,N16,170336,10.30800277,51.54001386,0.5,103.0800277
N10-Q16-F+ 1,N17,168369,10.20776428,51.0388214,0.5,102.0776428
N10-Q16-F+ 2,N18,228856,12.37778703,61.88893513,0.49,126.3039492
N10-Q16-F+ 4,N19,316962,15.04311915,75.21559576,0.52,144.6453765
N10-Q16-F+ 5,N20,277873,14.3871392,71.93569602,0.51,141.0503844
N11-A30-F+ 1,N21,318510,15.11081103,75.55405513,0.5,151.1081103
N11-A30-F+ 2,N22,238372,12.76787608,63.83938041,0.51,125.1752557
N11-A30-F+ 3,N23,130004,8.325550424,41.62775212,0.52,80.05336946
N11-A30-F+ 4,N24,295722,15.11882264,75.5941132,0.49,154.2737004
N12-B-/-F+ 1,N25,310567,14.76347476,73.81737378,0.49,150.6477016
N12-B-/-F+ 2,N26,44358,3.888152799,19.44076399,0.5,38.88152799
N12-B-/-F+ 3,N27,74804,5.43968364,27.1984182,0.52,52.30465038
N12-B-/-F+ 4,N28,507685,23.38316893,116.9158446,0.5,233.8316893
N13-Y2-F+ 1,N29,325809,15.42998608,77.14993038,0.5,154.2998608
N13-Y2-F+ 2,N30,126048,8.163382253,40.81691126,0.49,83.29981891
N13-Y2-F+ 3,N31,347536,16.38007737,81.90038684,0.5,163.8007737
N13-Y2-F+ 4,N32,153966,9.307823857,46.53911929,0.51,91.25317507
N16-B-/-F- 1,N33,272,0.144152124,0.72076062,0.53,1.359925698
N16-B-/-F- 2,N34,244,0.140838263,0.704191315,0.5,1.40838263
N16-B-/-F- 3,N35,247,0.14119332,0.705966598,0.5,1.411933195
N16-B-/-F- 5,N36,1449,0.283452638,1.417263191,0.52,2.725506137
N19-Y2-F+ 1,N37,291200,14.93345245,74.66726226,0.5,149.3345245
N19-Y2-F+ 2,N38,534395,24.55115984,122.7557992,0.49,250.5220391
N19-Y2-F+ 4,N39,44870,3.914244364,19.57122182,0.49,39.94126902
N19-Y2-F+ 5,N40,195604,11.01468894,55.07344472,0.53,103.9121599
N20-A30-F+ 1,N41,471027,21.78016591,108.9008296,0.5,217.8016591
N20-A30-F+ 3,N42,257789,13.56383649,67.81918245,0.48,141.2899634
N20-A30-F+ 4,N43,399075,20.12212554,100.6106277,0.5,201.2212554
N20-A30-F+ 5,N44,363209,17.06543572,85.32717858,0.51,167.3081933
N22-B-/-F- 1,N45,318,0.149596324,0.747981621,0.49,1.526493104
N22-B-/-F- 2,N46,369,0.155632285,0.778161427,0.47,1.65566261
N22-B-/-F- 3,N47,232,0.139418037,0.697090184,0.51,1.366843498
N22-B-/-F- 5,N48,254,0.142021785,0.710108924,0.52,1.365594084
N23-Q16-F+ 1,N49,284408,14.65502823,73.27514116,0.53,138.2549833
N23-Q16-F+ 2,N50,510673,23.51382999,117.5691499,0.53,221.8285848
N23-Q16-F+ 4,N51,396087,20.00605966,100.0302983,0.5,200.0605966
N23-Q16-F+ 5,N52,119374,7.889795203,39.44897601,0.5,78.89795203
N25-W14-F+ 1,N53,232654,12.53347831,62.66739154,0.53,118.2403614
N25-W14-F+ 2,N54,286021,14.72114988,73.60574942,0.48,153.3453113
N25-W14-F+ 3,N55,225812,12.25300444,61.2650222,0.5,122.5300444
N25-W14-F+ 5,N56,268266,13.99331979,69.96659893,0.48,145.7637478
N29-B-/-F+ 1,N57,316812,15.03655986,75.18279931,0.51,147.4172536
N29-B-/-F+ 2,N58,337362,15.93518259,79.67591296,0.53,150.3319112
N29-B-/-F+ 3,N59,447364,20.74541605,103.7270802,0.53,195.7114722
N29-B-/-F+ 5,N60,478492,22.10659991,110.5329995,0.52,212.5634607
N30-Y11-F+ 2,N61,66995,5.041736312,25.20868156,0.51,49.42878737
N30-Y11-F+ 3,N62,156186,9.39882824,46.9941412,0.51,92.1453749
N30-Y11-F+ 4,N63,178579,10.72806678,53.64033389,0.54,99.33395165
N30-Y11-F+ 5,N64,113679,7.656340266,38.28170133,0.52,73.6186564
N31-Y108-F+ 2,N65,134166,8.496163145,42.48081572,0.52,81.69387639
N31-Y108-F+ 3,N66,87611,6.092329488,30.46164744,0.51,59.72872047
N31-Y108-F+ 4,N67,131212,8.375069926,41.87534963,0.5,83.75069926
N31-Y108-F+ 5,N68,369438,17.33782117,86.68910583,0.52,166.7098189
