"plantID" "fullPotID" "hostVar" "potID" "plantRep" "RNASeq" "totSpikelets" "disS.d7" "disS.d10" "disS.d14" "disS.d17" "head.mass" "Notes"
"1" "1-1" "N01-Y108-F+" "Norm" "1" "1" "NO" 20 7 11 13 18 1.78 NA
"2" "1-2" "N01-Y108-F+" "Norm" "1" "2" "NO" 20 4 10 13 20 1.46 NA
"3" "1-3" "N01-Y108-F+" "Norm" "1" "3" "NO" 20 1 3 7 11 3.77 NA
"4" "1-4" "N01-Y108-F+" "Norm" "1" "4" "NO" 20 3 3 6 14 3.59 NA
"5" "1-5" "N01-Y108-F+" "Norm" "1" "5" "YES" NA NA NA NA NA NA NA
"6" "2-1" "N02-Q22-F+" "Norm" "2" "1" "NO" 23 5 6 12 14 3.42 NA
"7" "2-2" "N02-Q22-F+" "Norm" "2" "2" "NO" 23 3 7 14 17 2.92 NA
"8" "2-3" "N02-Q22-F+" "Norm" "2" "3" "NO" 23 4 9 12 16 2.68 NA
"9" "2-4" "N02-Q22-F+" "Norm" "2" "4" "NO" 23 5 9 10 11 3.52 NA
"10" "2-5" "N02-Q22-F+" "Norm" "2" "5" "YES" NA NA NA NA NA NA NA
"11" "3-1" "N03-Y11-F+" "Norm" "3" "1" "NO" 21 4 5 12 16 3.54 NA
"12" "3-2" "N03-Y11-F+" "Norm" "3" "2" "NO" 21 4 10 14 18 1.88 NA
"13" "3-3" "N03-Y11-F+" "Norm" "3" "3" "NO" 20 3 11 13 19 1.05 NA
"14" "3-4" "N03-Y11-F+" "Norm" "3" "4" "NO" 20 6 10 14 20 2.06 NA
"15" "3-5" "N03-Y11-F+" "Norm" "3" "5" "YES" NA NA NA NA NA NA NA
"16" "4-1" "A04-A30-F+" "Alsen" "4" "1" "NO" 19 1 2 3 3 2.92 NA
"17" "4-2" "A04-A30-F+" "Alsen" "4" "2" "NO" 21 2 5 7 7 3.46 NA
"18" "4-3" "A04-A30-F+" "Alsen" "4" "3" "NO" 19 1 2 2 4 1.76 NA
"19" "4-4" "A04-A30-F+" "Alsen" "4" "4" "NO" 20 1 1 2 3 2.61 NA
"20" "4-5" "A04-A30-F+" "Alsen" "4" "5" "YES" NA NA NA NA NA NA NA
"21" "5-1" "A05-Y108-F+" "Alsen" "5" "1" "NO" 21 2 6 7 12 2.18 NA
"22" "5-2" "A05-Y108-F+" "Alsen" "5" "2" "NO" 21 2 3 4 4 3.43 NA
"23" "5-3" "A05-Y108-F+" "Alsen" "5" "3" "YES" NA NA NA NA NA NA NA
"24" "5-4" "A05-Y108-F+" "Alsen" "5" "4" "NO" 20 4 11 13 20 1.44 NA
"25" "5-5" "A05-Y108-F+" "Alsen" "5" "5" "NO" 17 2 6 8 14 1.18 NA
"26" "6-1" "A06-B-/-F+" "Alsen" "6" "1" "NO" 22 1 1 1 1 3.03 NA
"27" "6-2" "A06-B-/-F+" "Alsen" "6" "2" "YES" NA NA NA NA NA NA NA
"28" "6-3" "A06-B-/-F+" "Alsen" "6" "3" "NO" 21 1 4 8 16 1.34 NA
"29" "6-4" "A06-B-/-F+" "Alsen" "6" "4" "NO" 21 3 5 10 21 1.58 NA
"30" "6-5" "A06-B-/-F+" "Alsen" "6" "5" "NO" 20 1 1 1 1 2.4 NA
"31" "7-1" "A07-Q16-F+" "Alsen" "7" "1" "NO" 23 2 3 6 6 3.13 NA
"32" "7-2" "A07-Q16-F+" "Alsen" "7" "2" "NO" 20 0 1 1 1 3.43 NA
"33" "7-3" "A07-Q16-F+" "Alsen" "7" "3" "NO" 23 0 1 1 1 4.45 NA
"34" "7-4" "A07-Q16-F+" "Alsen" "7" "4" "YES" NA NA NA NA NA NA NA
"35" "7-5" "A07-Q16-F+" "Alsen" "7" "5" "NO" 20 1 1 1 1 3.41 NA
"36" "8-1" "A08-B-/-F-" "Alsen" "8" "1" "NO" 22 1 5 12 14 2.52 NA
"37" "8-2" "A08-B-/-F-" "Alsen" "8" "2" "NO" 25 1 1 1 1 4.03 NA
"38" "8-3" "A08-B-/-F-" "Alsen" "8" "3" "YES" NA NA NA NA NA NA NA
"39" "8-4" "A08-B-/-F-" "Alsen" "8" "4" "NO" 24 1 3 9 11 3.94 NA
"40" "8-5" "A08-B-/-F-" "Alsen" "8" "5" "NO" 24 1 1 3 3 3.65 NA
"41" "9-1" "N09-W14-F+" "Norm" "9" "1" "NO" 20 3 6 11 14 2.72 NA
"42" "9-2" "N09-W14-F+" "Norm" "9" "2" "NO" 21 3 7 14 18 1.36 NA
"43" "9-3" "N09-W14-F+" "Norm" "9" "3" "NO" 18 5 11 17 18 0.86 NA
"44" "9-4" "N09-W14-F+" "Norm" "9" "4" "NO" 22 9 11 14 17 2.61 NA
"45" "9-5" "N09-W14-F+" "Norm" "9" "5" "YES" NA NA NA NA NA NA NA
"46" "10-1" "N10-Q16-F+" "Norm" "10" "1" "NO" 22 4 10 15 18 2.54 NA
"47" "10-2" "N10-Q16-F+" "Norm" "10" "2" "NO" 20 5 11 14 17 1.94 NA
"48" "10-3" "N10-Q16-F+" "Norm" "10" "3" "YES" NA NA NA NA NA NA NA
"49" "10-4" "N10-Q16-F+" "Norm" "10" "4" "NO" 20 5 7 14 17 2.15 NA
"50" "10-5" "N10-Q16-F+" "Norm" "10" "5" "NO" 21 4 10 14 17 1.82 NA
"51" "11-1" "N11-A30-F+" "Norm" "11" "1" "NO" 21 2 11 15 19 1.94 NA
"52" "11-2" "N11-A30-F+" "Norm" "11" "2" "NO" 20 6 9 13 16 1.56 NA
"53" "11-3" "N11-A30-F+" "Norm" "11" "3" "NO" 21 1 4 11 15 2.96 NA
"54" "11-4" "N11-A30-F+" "Norm" "11" "4" "NO" 22 10 13 17 22 1.9 NA
"55" "11-5" "N11-A30-F+" "Norm" "11" "5" "YES" NA NA NA NA NA NA NA
