fullPotID,potID,hostVar,bacteria,Fusarium,microTrt,control,block,bench
N01-Y108-F+,1,Norm,Y108,YES,Y108,NO,1,1
N02-Q22-F+,2,Norm,Q22,YES,Q22,NO,1,1
N03-Y11-F+,3,Norm,Y11,YES,Y11,NO,1,1
A04-A30-F+,4,Alsen,A30,YES,A30,NO,1,1
A05-Y108-F+,5,Alsen,Y108,YES,Y108,NO,1,1
A06-B-/-F+,6,Alsen,NO,YES,POS,POS,1,1
A07-Q16-F+,7,Alsen,Q16,YES,Q16,NO,1,1
A08-B-/-F-,8,Alsen,NO,NO,NEG,NEG,1,1
N09-W14-F+,9,Norm,W14,YES,W14,NO,1,1
N10-Q16-F+,10,Norm,Q16,YES,Q16,NO,1,1
N11-A30-F+,11,Norm,A30,YES,A30,NO,1,1
N12-B-/-F+,12,Norm,NO,YES,POS,POS,1,1
N13-Y2-F+,13,Norm,Y2,YES,Y2,NO,1,1
A14-W14-F+,14,Alsen,W14,YES,W14,NO,1,1
A15-Q22-F+,15,Alsen,Q22,YES,Q22,NO,1,1
N16-B-/-F-,16,Norm,NO,NO,NEG,NEG,1,1
A17-Y11-F+,17,Alsen,Y11,YES,Y11,NO,1,1
A18-Y2-F+,18,Alsen,Y2,YES,Y2,NO,1,1
N19-Y2-F+,19,Norm,Y2,YES,Y2,NO,2,1
N20-A30-F+,20,Norm,A30,YES,A30,NO,2,1
A21-A30-F+,21,Alsen,A30,YES,A30,NO,2,1
N22-B-/-F-,22,Norm,NO,NO,NEG,NEG,2,1
N23-Q16-F+,23,Norm,Q16,YES,Q16,NO,2,1
A24-B-/-F-,24,Alsen,NO,NO,NEG,NEG,2,1
N25-W14-F+,25,Norm,W14,YES,W14,NO,2,1
A26-Y11-F+,26,Alsen,Y11,YES,Y11,NO,2,1
A27-Q16-F+,27,Alsen,Q16,YES,Q16,NO,2,1
A28-Y2-F+,28,Alsen,Y2,YES,Y2,NO,2,2
N29-B-/-F+,29,Norm,NO,YES,POS,POS,2,2
N30-Y11-F+,30,Norm,Y11,YES,Y11,NO,2,2
N31-Y108-F+,31,Norm,Y108,YES,Y108,NO,2,2
A32-Q22-F+,32,Alsen,Q22,YES,Q22,NO,2,2
A33-W14-F+,33,Alsen,W14,YES,W14,NO,2,2
N34-Q22-F+,34,Norm,Q22,YES,Q22,NO,2,2
A35-B-/-F+,35,Alsen,NO,YES,POS,POS,2,2
A36-Y108-F+,36,Alsen,Y108,YES,Y108,NO,2,2
N37-W14-F+,37,Norm,W14,YES,W14,NO,3,2
N38-B-/-F-,38,Norm,NO,NO,NEG,NEG,3,2
N39-Y2-F+,39,Norm,Y2,YES,Y2,NO,3,2
A40-A30-F+,40,Alsen,A30,YES,A30,NO,3,2
A41-B-/-F+,41,Alsen,NO,YES,POS,POS,3,2
A42-Q16-F+,42,Alsen,Q16,YES,Q16,NO,3,2
A43-Y11-F+,43,Alsen,Y11,YES,Y11,NO,3,2
N44-B-/-F+,44,Norm,NO,YES,POS,POS,3,2
A45-Q22-F+,45,Alsen,Q22,YES,Q22,NO,3,2
N46-Q16-F+,46,Norm,Q16,YES,Q16,NO,3,2
A47-W14-F+,47,Alsen,W14,YES,W14,NO,3,2
N48-Q22-F+,48,Norm,Q22,YES,Q22,NO,3,2
A49-Y108-F+,49,Alsen,Y108,YES,Y108,NO,3,2
N50-Y11-F+,50,Norm,Y11,YES,Y11,NO,3,2
N51-A30-F+,51,Norm,A30,YES,A30,NO,3,2
N52-Y108-F+,52,Norm,Y108,YES,Y108,NO,3,2
A53-B-/-F-,53,Alsen,NO,NO,NEG,NEG,3,2
A54-Y2-F+,54,Alsen,Y2,YES,Y2,NO,3,2
