"","fullPotID","plantRep","plantID","hostVar","potID","RNASeq","totSpikelets","disS.d7","disS.d10","disS.d14","disS.d17","head.mass","Notes.x","bacteria","Fusarium","microTrt","block","disPerc.d7","disPerc.d10","disPerc.d14","disPerc.d17","DON_area","forecast","x5","weight_g","ugDON_per_g","Fg_gm","Ta_gm","FgTa","failed_yn","Notes.y","AUDPC","DON_per_Fg"
"1","A04-A30-F+","1","4-1","Alsen","4","NO",19,1,2,3,3,2.92,NA,"A30","YES","A30","1",5.26315789473684,10.5263157894737,15.7894736842105,15.7894736842105,19700,1.890407052,9.452035259,0.54,17.503769,0.000310475,0.000742557,0.418116417,"","",0.123684210526316,37.391914413461
"2","A04-A30-F+","2","4-2","Alsen","4","NO",21,2,5,7,7,3.46,NA,"A30","YES","A30","1",9.52380952380952,23.8095238095238,33.3333333333333,33.3333333333333,52672,3.511402986,17.55701493,0.52,33.76349025,0.000605295,0.000796228,0.760203217,"","",0.264285714285714,41.6728661915446
"3","A04-A30-F+","3","4-3","Alsen","4","NO",19,1,2,2,4,1.76,NA,"A30","YES","A30","1",5.26315789473684,10.5263157894737,10.5263157894737,21.0526315789474,36337,2.708328602,13.54164301,0.52,26.04162117,0.000476681,0.00104457,0.456341558,"","",0.113157894736842,51.4309377900204
"4","A04-A30-F+","4","4-4","Alsen","4","NO",20,1,1,2,3,2.61,NA,"A30","YES","A30","1",5,5,10,15,19857,1.898125612,9.490628059,0.48,19.77214179,0.000775955,0.002087713,0.371677027,"","",0.0825,46.8893027696289
"5","A05-Y108-F+","1","5-1","Alsen","5","NO",21,2,6,7,12,2.18,NA,"Y108","YES","Y108","1",9.52380952380952,28.5714285714286,33.3333333333333,57.1428571428571,207973,13.12381673,65.61908366,0.51,128.6648699,0.003301312,0.001347494,2.449964927,"","",0.316666666666667,51.4666699962067
"6","A05-Y108-F+","2","5-2","Alsen","5","NO",21,2,3,4,4,3.43,NA,"Y108","YES","Y108","1",9.52380952380952,14.2857142857143,19.047619047619,19.047619047619,16059,1.711405287,8.557026434,0.49,17.46331925,0.000861679,0.002132999,0.403975448,"","",0.15952380952381,38.4675412005981
"7","A05-Y108-F+","4","5-4","Alsen","5","NO",20,4,11,13,20,1.44,NA,"Y108","YES","Y108","1",20,55,65,100,247865,13.30078135,66.50390674,0.5,133.0078135,0.00293099,0.001045062,2.804607946,"","",0.6,46.5940738679637
"8","A05-Y108-F+","5","5-5","Alsen","5","NO",17,2,6,8,14,1.18,NA,"Y108","YES","Y108","1",11.7647058823529,35.2941176470588,47.0588235294118,82.3529411764706,194224,12.33779121,61.68895607,0.5,123.3779121,0.002983317,0.001007524,2.961039167,"","",0.429411764705882,40.975193365859
"9","A06-B-/-F+","1","6-1","Alsen","6","NO",22,1,1,1,1,3.03,NA,"NO","YES","POS","1",4.54545454545455,4.54545454545455,4.54545454545455,4.54545454545455,6933,0.882595995,4.412979975,0.5,8.82595995,0.000177568,0.000571067,0.310941206,"","",0.0454545454545455,24.4526249795929
"10","A06-B-/-F+","3","6-3","Alsen","6","NO",21,1,4,8,16,1.34,NA,"NO","YES","POS","1",4.76190476190476,19.047619047619,38.0952380952381,76.1904761904762,182157,11.64792505,58.23962523,0.49,118.856378,0.001804492,0.000839212,2.150220842,"","",0.321428571428571,54.0202036682643
"11","A06-B-/-F+","4","6-4","Alsen","6","NO",21,3,5,10,21,1.58,NA,"NO","YES","POS","1",14.2857142857143,23.8095238095238,47.6190476190476,100,255941,13.66629871,68.33149353,0.54,126.5398028,0.002288722,0.001404402,1.62967634,"","",0.421428571428571,75.3358249959037
"12","A06-B-/-F+","5","6-5","Alsen","6","NO",20,1,1,1,1,2.4,NA,"NO","YES","POS","1",5,5,5,5,14499,1.634711314,8.173556572,0.5,16.34711314,0.000970856,0.001423998,0.681781379,"","",0.05,22.338793537407
"13","A07-Q16-F+","1","7-1","Alsen","7","NO",23,2,3,6,6,3.13,NA,"Q16","YES","Q16","1",8.69565217391304,13.0434782608696,26.0869565217391,26.0869565217391,16860,1.750784692,8.753923459,0.48,18.23734054,0.001230832,0.001398423,0.880157469,"","at least two reps across 12 reps from 3 primer sets",0.189130434782609,19.6067237514168
"14","A07-Q16-F+","2","7-2","Alsen","7","NO",20,0,1,1,1,3.43,NA,"Q16","YES","Q16","1",0,5,5,5,6049,0.816420317,4.082101586,0.5,8.164203172,0.000461359,0.001320732,0.349320338,"","at least two reps across 12 reps from 3 primer sets",0.0425,20.4452475746427
"15","A07-Q16-F+","3","7-3","Alsen","7","NO",23,0,1,1,1,4.45,NA,"Q16","YES","Q16","1",0,4.34782608695652,4.34782608695652,4.34782608695652,526,0.141983324,0.709916621,0.52,1.36522427,0,0.001553548,0,"yes","failed qPCR",0.0369565217391304,27.3044854
"16","A07-Q16-F+","5","7-5","Alsen","7","NO",20,1,1,1,1,3.41,NA,"Q16","YES","Q16","1",5,5,5,5,16875,1.751522134,8.757610669,0.5,17.51522134,0.000911897,0.001156022,0.788822746,"","",0.05,20.8807181535347
"17","A14-W14-F+","1","14-1","Alsen","14","NO",23,1,1,1,2,2.54,NA,"W14","YES","W14","1",4.34782608695652,4.34782608695652,4.34782608695652,8.69565217391304,10972,1.461314109,7.306570544,0.5,14.61314109,0.001041852,0.002037721,0.511283034,"","at least two reps across 12 reps from 3 primer sets",0.05,26.0352446177805
"18","A14-W14-F+","2","14-2","Alsen","14","NO",21,1,0,1,1,2.53,NA,"W14","YES","W14","1",4.76190476190476,0,4.76190476190476,4.76190476190476,372,0.118548835,0.592744173,0.48,1.234883693,0,0.001296867,0,"yes","failed qPCR",0.0309523809523809,24.69767386
"19","A14-W14-F+","3","14-3","Alsen","14","NO",20,1,1,1,1,2.77,NA,"W14","YES","W14","1",5,5,5,5,331,0.112309782,0.561548911,0.49,1.146018185,0.000130374,0.001073339,0.121465638,"","only one rep across 12 reps from 3 primer sets",0.05,6.68366092686163
"20","A14-W14-F+","4","14-4","Alsen","14","NO",21,1,1,1,1,2.87,NA,"W14","YES","W14","1",4.76190476190476,4.76190476190476,4.76190476190476,4.76190476190476,13028,1.562392831,7.811964157,0.49,15.94278399,0.00043475,0.00089943,0.483361424,"","",0.0476190476190476,29.8911456146105
"21","A15-Q22-F+","2","15-2","Alsen","15","NO",21,2,2,3,4,2.85,NA,"Q22","YES","Q22","1",9.52380952380952,9.52380952380952,14.2857142857143,19.047619047619,11387,1.481716672,7.40858336,0.48,15.43454867,0.000292354,0.000668126,0.437572753,"","",0.126190476190476,31.6558884290238
"22","A15-Q22-F+","3","15-3","Alsen","15","NO",22,1,2,5,7,4.4,NA,"Q22","YES","Q22","1",4.54545454545455,9.09090909090909,22.7272727272727,31.8181818181818,20406,1.925115991,9.625579953,0.5,19.25115991,0.000986768,0.001069202,0.922901012,"","",0.165909090909091,19.7873778242097
"23","A15-Q22-F+","4","15-4","Alsen","15","NO",21,2,6,8,8,1.64,NA,"Q22","YES","Q22","1",9.52380952380952,28.5714285714286,38.0952380952381,38.0952380952381,191162,12.16273775,60.81368873,0.48,126.6951848,0.002875382,0.001236966,2.324543952,"","",0.304761904761905,53.3555863193389
