"","potID","fullPotID","hostVar","bacteria","Fusarium","microTrt","control","block","bench","ID","Notes","Sample_ID","Ambient.Humidity","Ambient.Pressure","Ambient.Temperature","ECS_tau","ECSt.mAU","FmPrime","FoPrime","Fs","FvP_over_FmP","gH.","kP700","leaf.angle","Leaf.Temperature","Leaf.Temperature.Differential","leaf_thickness","LEF","Light.Intensity..PAR.","NPQt","P700_DIRK_ampl","Phi2","PhiNO","PhiNPQ","PS1.Active.Centers","PS1.Open.Centers","PS1.Over.Reduced.Centers","PS1.Oxidized.Centers","pump","qL","SPAD","test_data_raw_PAM","time","Time.of.Day","tP700","v_initial_P700","vH.","User","Device.ID","Issues","Notes_postMeasure","plant_rep","Day","leafvpd","aVPD","lVPD"
"1","1","N01-Y108-F+","Norm","Y108","YES","Y108","NO","1","1","2189247","one leaf;  youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","1-1",44.7002,997.0719,27.1,0.0058,0.00042,765.9,147,225.33,0.808,172.485,281.9836,3.953,25.95,-1.15,0.26,109.38,344.296,0.159,2e-04,0.706,0.254,0.04,2.736,1.012,0.056,-0.067,"none",0.57,49.075,620,"7/27/2021 10:30",10.50972222,0.0035,0.0563967,0.072,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,1737.40774399892,1969.8541021736,1737.40774399892
"2","1","N01-Y108-F+","Norm","Y108","YES","Y108","NO","1","1","2189249","one leaf;  youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","1-3",41.77734,997.10516,28.76,0.0068,5e-04,715.89,156,229.33,0.782,147.117,145.661,2.086,26.93,-1.83,0.3,104.13,340.297,0.36,0.00016,0.68,0.236,0.085,2.131,1.001,-0.178,0.178,"none",0.591,46.055,620,"7/27/2021 10:35",10.5875,0.0069,0.0233058,0.074,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,1888.16953670646,2283.815779353,1888.16953670646
"3","1","N01-Y108-F+","Norm","Y108","YES","Y108","NO","1","1","2189248","one leaf;  youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","1-2",42.47754,997.06561,28.05,0.0045,0.00042,715.78,136,208.33,0.81,221.846,357.6849,4.579,26.67,-1.38,0.34,114.53,358.975,0.145,0.00017,0.709,0.254,0.037,2.372,1.022,0.075,-0.097,"none",0.571,48.86,620,"7/27/2021 10:33",10.55472222,0.0028,0.0608064,0.093,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,1874.46951393049,2165.54388004994,1874.46951393049
"4","10","N10-Q16-F+","Norm","Q16","YES","Q16","NO","1","1","2189276"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","10-1",32.26953,997.95251,32.35,0.0115,0.00021,772.77,164,233.33,0.788,86.774,205.7517,1.632,29.37,-2.98,0.43,107.62,342.633,0.315,9e-05,0.698,0.23,0.072,7.471,0.53,0.572,-0.102,"none",0.623,95.843,620,"7/27/2021 12:11",12.18916667,0.0049,0.0185177,0.018,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,2509.89663832481,3259.28616513225,2509.89663832481
"5","10","N10-Q16-F+","Norm","Q16","YES","Q16","NO","1","1","2189278"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","10-3",32.56738,998.01263,32.35,0.005,0.00026,788.1,168,231,0.787,201.835,11.9899,2.732,28.97,-3.38,0.43,102.64,322.603,0.322,1e-05,0.707,0.222,0.071,5.525,0.639,0.46,-0.099,"none",0.653,88.952,620,"7/27/2021 12:16",12.27666667,0.0834,0.0001199,0.052,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,2403.14818231101,3244.95320119025,2403.14818231101
"6","10","N10-Q16-F+","Norm","Q16","YES","Q16","NO","1","1","2189277"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","10-2",32.66895,998.01831,32.27,0.0048,0.00029,720.83,155,222,0.785,208.051,-1505.1722,6.506,29.11,-3.16,0.45,102.36,328.712,0.337,5e-05,0.692,0.23,0.078,4.416,0.6,0.419,-0.019,"none",0.616,67.984,620,"7/27/2021 12:13",12.23166667,-7e-04,-0.0752586,0.06,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,2437.44747037998,3225.53163061418,2437.44747037998
"7","11","N11-A30-F+","Norm","A30","YES","A30","NO","1","1","2189279"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","11-1",32.40723,998.01703,32.44,0.0081,0.00036,720.21,149,226.67,0.793,123.656,-1.0118,7.243,28.35,-4.09,0.43,93.61,303.68,0.273,0.00015,0.685,0.247,0.067,4.601,0.658,0.388,-0.046,"none",0.568,73.088,620,"7/27/2021 12:19",12.32861111,-0.9884,-0.0001518,0.045,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,2263.32277334938,3269.1422304865,2263.32277334938
"8","11","N11-A30-F+","Norm","A30","YES","A30","NO","1","1","2189280"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","11-2",32.24219,997.8725,32.47,0.0048,0.00026,765.06,165,240.33,0.784,208.246,1126.9506,2.902,28.49,-3.98,0.37,104.22,337.622,0.342,0.00015,0.686,0.234,0.08,4.907,0.721,0.374,-0.095,"none",0.6,68.127,620,"7/27/2021 12:21",12.36555556,9e-04,0.1690426,0.054,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,2299.82648508884,3282.64811061029,2299.82648508884
"9","11","N11-A30-F+","Norm","A30","YES","A30","NO","1","1","2189281"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","11-3",31.77637,997.77643,32.62,0.0059,0.00041,682.17,144,201.67,0.789,168.868,58.7089,3.456,28.53,-4.09,0.45,106.43,335.962,0.306,0.00011,0.704,0.226,0.069,3.105,0.568,0.188,0.244,"none",0.638,58.434,620,"7/27/2021 12:24",12.40277778,0.017,0.006458,0.069,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,2318.32519172356,3333.14612988681,2318.32519172356
"10","12","N12-B-/-F+","Norm","NO","YES","POS","POS","1","1","2189283"," two leaves;   youngest fully extended leaf, 3rd ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); skipped 12.2","12-3",32.50488,997.53534,31.98,0.007,0.00032,797.19,162,239.67,0.797,142.933,-306.4388,1.955,27.99,-3.99,0.47,92.57,294.278,0.245,-5e-05,0.699,0.242,0.059,5.857,0.245,0.553,0.202,"none",0.593,82.395,620,"7/27/2021 12:34",12.56666667,-0.0033,0.0153219,0.046,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,2219.65078451158,3181.05253166103,2219.65078451158
